Term,TF-IDF Score,Period,Article Count
kontribusi,0.056549224428044,2025Q4,3
spesial,0.045806928436570866,2025Q4,3
pesan,0.045806928436570866,2025Q4,3
apresiasi,0.045806928436570866,2025Q4,3
apresiasi spesial,0.045806928436570866,2025Q4,3
pembaca,0.04243826940400928,2025Q4,3
kontributor,0.04028462895835447,2025Q4,3
penggunaan,0.04028462895835447,2025Q4,3
pasar,0.03919471859021746,2025Q4,3
indonesia,0.03772680101525752,2025Q4,3
fitur,0.037607223968916,2025Q4,3
maupun,0.037607223968916,2025Q4,3
kebijakan,0.03611666829070441,2025Q4,3
hingga,0.03509800700583195,2025Q4,3
pabrik,0.03426936902073531,2025Q4,3
sektor,0.03426936902073531,2025Q4,3
industri,0.03303246374030552,2025Q4,3
baru,0.03276144694133988,2025Q4,3
menjadi,0.03276144694133988,2025Q4,3
the,0.032670447868614214,2025Q4,3
