Term,TF-IDF Score,Period,Article Count
tarif,0.03897407370688149,2025Q2,758
trump,0.03217330071641905,2025Q2,758
indonesia,0.03054440463733067,2025Q2,758
negara,0.03038861783925611,2025Q2,758
china,0.024765579959424393,2025Q2,758
perdagangan,0.02451765407916029,2025Q2,758
kebijakan,0.024340230632617574,2025Q2,758
impor,0.02319067504592245,2025Q2,758
amerika,0.023158250133000626,2025Q2,758
persen,0.0226462683177996,2025Q2,758
tersebut,0.022475965934976302,2025Q2,758
barang,0.02245286785090779,2025Q2,758
produk,0.021507937067807795,2025Q2,758
menjadi,0.021185508879223994,2025Q2,758
ekonomi,0.021077459646827796,2025Q2,758
presiden,0.020872615873722383,2025Q2,758
pasar,0.020664536324503463,2025Q2,758
serikat,0.0203160247886097,2025Q2,758
amerika serikat,0.02020456409556209,2025Q2,758
dagang,0.01935992064887807,2025Q2,758
