Rank,N-gram,TF-IDF Score
149,sebesar barang barang,0.002926561442587932
150,trump mengumumkan kebijakan,0.0029260454737621107
151,kebijakan tarif tinggi,0.0029246123941003006
152,masing masing negara,0.0029171516627792228
153,terkait kebijakan tarif,0.002894779631281842
154,mitra dagang terbesar,0.0028877533169231616
155,mengenakan tarif sebesar,0.0028867850646787188
156,impor sebesar persen,0.002875864427295399
157,selama beberapa dekade,0.0028756183856115123
158,tarif baru trump,0.002873250938294342
159,amerika serikat trump,0.002873064470959421
160,kantor perwakilan dagang,0.0028677718282961724
161,tarif presiden trump,0.002861864634771978
162,barang impor china,0.0028572702610224943
163,sejumlah negara termasuk,0.002848880137374938
164,kerja sama ekonomi,0.0028433329661159265
165,penerapan tarif impor,0.0028296253798006134
166,pasar amerika serikat,0.002822601948365628
167,tarif impor amerika,0.0027778570433171735
168,suku bunga acuan,0.002776957857774821
169,diversifikasi pasar ekspor,0.0027693416532430055
170,tarif donald trump,0.002765802778938952
171,dewan ekonomi nasional,0.002757022007728525
172,mengumumkan tarif baru,0.002753408208722705
173,jabatan pertama trump,0.002751685232000866
174,timbal balik resiprokal,0.0027384336251928287
175,daya saing ekspor,0.002736649883479644
176,pemangkasan suku bunga,0.0027351377362052035
177,praktik perdagangan adil,0.002723416010739877
178,perdagangan luar negeri,0.00272145819672328
179,dana moneter internasional,0.0027163143398231827
180,selama masa jabatan,0.0027028887692931826
181,presiden amerika serikatdonald,0.002681202200530947
182,sumber daya alam,0.0026810224762157855
183,level terendah sejak,0.002675245625610148
184,menetapkan tarif impor,0.0026666564883290286
185,tekstil alas kaki,0.002655456555205783
186,melindungi industri negeri,0.0026546855977664843
187,tarif tambahan sebesar,0.002647823530663826
188,presiden komisi eropa,0.002645757512264364
189,perang dagang amerika,0.0026428316026635874
190,donald trump memberlakukan,0.0026404590696818856
191,jakarta kebijakan tarif,0.002633363385576122
192,perdana menteri kanada,0.0026333500817679635
193,bea masuk tinggi,0.002627394956064133
194,tarif negara negara,0.0026202361832251206
195,donald trump mulai,0.00257480612303709
196,diberlakukan presiden donald,0.0025740747622846985
197,semua barang impor,0.0025737847007520805
198,rantai pasokan global,0.0025594164295393634
199,platform truth social,0.002556925552922709
200,tarif kanada meksiko,0.0025543086439800446
201,produk produk china,0.0025493055356093823
202,luar negeri china,0.0025353892749998288
203,tarif baja aluminium,0.002533221495144119
204,produk ekspor indonesia,0.002529985729275372
205,keadaan darurat nasional,0.002523324715252175
206,tarif resiprokal trump,0.0025230775160354755
207,mengenakan bea masuk,0.002521657358759862
208,komisi eropa leyen,0.0025080476544216863
209,proyeksi pertumbuhan ekonomi,0.002506271575397332
210,miliar setara triliun,0.0025040210980645148
211,meningkatkan daya saing,0.002503756373937267
212,menunda penerapan tarif,0.0024827591306410507
213,mengganggu rantai pasokan,0.0024792721566045256
214,mengumumkan tarif impor,0.002475418686371053
215,defisit perdagangan barang,0.002461014938830439
216,mencapai usd miliar,0.0024593441169452088
217,diberlakukan presiden amerika,0.0024536172900908168
218,sebesar persen produk,0.0024508372305683474
219,pusat statistik bps,0.0024492316484355974
220,defisit neraca perdagangan,0.0024366319572150115
221,ketidakpastian ekonomi global,0.002434057244647697
222,negara negara berkembang,0.0024320399937456318
223,timbal balik sebesar,0.0024315605158511896
224,bea masuk tambahan,0.0024261215648466077
225,negara ekonomi terbesar,0.0024212903486623416
226,negara negara asean,0.0024202361256684063
227,sebesar persen barang,0.002419263995463666
228,sebagian besar negara,0.0024189159881008327
229,logam tanah jarang,0.002412361320939999
230,suku cadang mobil,0.0024092674422792476
231,meksiko kanada china,0.002408016505334797
232,akun media sosial,0.0024057341471656695
233,pengadilan perdagangan internasional,0.0023949190606852386
234,timbal balik trump,0.0023903189051195117
