Rank,N-gram,TF-IDF Score
175,akibat tarif,0.004404710245902919
176,masa jabatan,0.004388844743702771
177,miliar dollar,0.004381083730459203
178,bank indonesia,0.004380122812729498
179,dagang amerika,0.0043554490903679076
180,tarif dagang,0.0043438258592234085
181,bahan baku,0.004326333915392002
182,mengalami penurunan,0.004321315133517157
183,tenaga kerja,0.0043140968138200885
184,truth social,0.004306091546357722
185,ekonomi terbesar,0.004303564849954192
186,menurunkan tarif,0.0042967213003617
187,atas impor,0.004273920113473502
188,negara asia,0.004216908070845634
189,impor produk,0.004186487811507301
190,wall street,0.004185212742658078
191,kebijakan tersebut,0.004183512242089335
192,baru baru,0.004183057672029182
193,undang undang,0.004176512524674809
194,mengatakan tarif,0.004169481541901149
195,minyak mentah,0.004151156586787248
196,persen barang,0.004113904091673939
197,trump menerapkan,0.0041132709437944615
198,perdagangan bebas,0.0041115457766637544
199,hari depan,0.004104415494453003
200,negara bagian,0.0040819958140961106
201,usd miliar,0.004077086282998211
202,keuangan scott,0.004069450353054309
203,perdagangan amerika,0.0040547770265999756
204,ketegangan perdagangan,0.004047330855465393
205,mengambil langkah,0.00404281038088417
206,tarif atas,0.004033990610161072
207,tarif diterapkan,0.004032072001175265
208,april lalu,0.004031207954222275
209,indonesia amerika,0.004027210585510625
210,jangka pendek,0.004016969683246993
211,mencapai kesepakatan,0.004006968916586563
212,per dolar,0.004003856635733674
213,persen tarif,0.003972199408971822
214,perjanjian perdagangan,0.003940079792132735
215,produsen mobil,0.003933614350350914
216,masa depan,0.003928455718429001
217,ekonomi nasional,0.003914233318054269
218,china menjadi,0.003904789430325683
219,produk asal,0.0038998165084706067
220,suku cadang,0.0038961278548350305
221,bawah melanjutkan,0.003884489191562223
222,melanjutkan membaca,0.003884489191562223
223,scroll bawah,0.003884489191562223
224,rabu april,0.0038831071123499182
225,tarif hingga,0.0038728587816311754
226,dagang china,0.0038510394166881073
227,howard lutnick,0.003842974314911048
228,trump mengancam,0.0038382842958632124
229,hari senin,0.0038377757113997376
230,miliar triliun,0.0038245139762088207
231,organisasi perdagangan,0.003807376750616107
232,asal china,0.0038020492745537773
233,serikat china,0.0037926456706687726
234,pelaku pasar,0.0037889509632048645
235,minggu lalu,0.0037716897592559293
236,baru trump,0.0037662932234733826
237,terkait tarif,0.0037659684062177038
238,dagang utama,0.003717249475762115
239,impor sebesar,0.0037169265749808517
240,industri otomotif,0.003715515775933388
241,keamanan nasional,0.003714089104686833
242,negara dunia,0.0036860009083596653
243,turun persen,0.0036760232594147597
244,tarif amerika,0.0036734695062012016
245,perwakilan dagang,0.0036653918689836533
246,perintah eksekutif,0.0036648786355034267
247,timur tengah,0.0036581348077336074
248,impor baja,0.00364974835539868
249,pasar domestik,0.0036381007836932882
250,terkena dampak,0.003634785380499123
251,dampak negatif,0.0036142226735538185
252,impor indonesia,0.0036097952966851372
253,akibat kebijakan,0.003606926383364349
254,hubungan dagang,0.0035913462121741004
255,berdasarkan data,0.0035819733175011977
256,orang orang,0.0035653562514891715
257,tarif negara,0.0035455257600634457
258,semua impor,0.0035258708714476076
259,trump menetapkan,0.0035221478792866836
260,pengumuman tarif,0.0035030764002590992
261,ekonomi dunia,0.0035002726791473924
262,puluhan negara,0.0034927831217361973
263,impor trump,0.0034905840345208976
264,produk ekspor,0.0034852262859716983
265,negara berkembang,0.003484014224229266
266,rumah tangga,0.003473772561421924
267,semua barang,0.0034691388805251234
268,tarif produk,0.0034605743667458213
269,belah pihak,0.003456256668466858
270,kedua belah,0.003456256668466858
271,bekerja sama,0.0034461658760546843
272,mulai april,0.0034443831483544065
273,pemerintah china,0.003442032125232052
274,kebijakan presiden,0.0034389407787505585
275,produk domestik,0.0034349064346200493
276,tarif besar,0.003428957805117254
277,trump menandatangani,0.0034210457556879273
278,perdagangan howard,0.003416447992527293
279,meksiko china,0.0034006928707427443
280,menghadapi tarif,0.003391332166848706
281,situs web,0.0033878169422394775
282,daya beli,0.0033852555851582706
283,sejak awal,0.00337737378402042
284,hampir semua,0.003373359783945985
285,kemungkinan besar,0.0033576037309317706
286,diversifikasi pasar,0.0033550187095750376
287,saling menguntungkan,0.0033547966762470416
288,tarif berlaku,0.0033527011388171943
289,kebijakan ekonomi,0.0033512893918055185
290,video detik,0.003333926354638982
291,pemerintahan presiden,0.003333764757356267
292,beberapa hari,0.00333372850923617
293,impor tinggi,0.0033236704871937154
294,soal tarif,0.003321000564655685
295,mencapai persen,0.0033196542197463934
296,sebuah pernyataan,0.0033108834651899262
297,biaya produksi,0.0032978735102096365
298,atas produk,0.0032954074878865877
299,harga saham,0.0032925695088101173
300,gambas video,0.0032922939476189065
