url,judul,channel
https://news.detik.com/internasional/d-7747349/upaya-uni-eropa-meredam-trump,Upaya Uni Eropa Meredam Trump - detikNews,Detik
https://www.liputan6.com/bisnis/read/5889339/dolar-as-terkapar-karena-donald-trump-tak-jadi-umumkan-perang-tarif,Dolar AS Terkapar karena Donald Trump Tak Jadi Umumkan Perang Tarif - Liputan6.com,Liputan6
https://www.cnnindonesia.com/internasional/20250121133428-134-1189703/jadi-presiden-as-lagi-bagaimana-kebijakan-trump-periode-2,"Jadi Presiden AS Lagi, Bagaimana Kebijakan Trump Periode 2? - CNN Indonesia",CNN Indonesia
https://www.cnbcindonesia.com/news/20250121140820-4-604852/diam-diam-ri-sudah-pdkt-dengan-as-buat-hadapi-kebijakan-trump,"Diam-Diam, RI Sudah PDKT dengan AS Buat Hadapi Kebijakan Trump - CNBC Indonesia",CNBC Indonesia
https://www.bloombergtechnoz.com/detail-news/60748/demi-hindari-tarif-trump-asia-bakal-jorjoran-impor-migas-dari-as/2,"Demi Hindari Tarif Trump, Asia Bakal Jorjoran Impor Migas dari AS - Energi - Bloomberg Technoz",Bloombergtechnoz
https://www.cnbcindonesia.com/news/20250123151935-4-605488/perusahaan-amerika-di-china-waswas-jadi-tumbal-perang-dagang-trump,Perusahaan Amerika di China Waswas Jadi 'Tumbal' Perang Dagang Trump - CNBC Indonesia,CNBC Indonesia
https://www.bloombergtechnoz.com/detail-news/60835/dolar-melemah-setelah-pelantikan-trump-mata-uang-asing-menguat/2,"Dolar Melemah Setelah Pelantikan Trump, Mata Uang Asing Menguat - Market - Bloomberg Technoz",Bloombergtechnoz
https://www.bloombergtechnoz.com/detail-news/60978/trump-akan-umumkan-investasi-ai-rp1-632-t-openai-oracle-softbank,Trump Akan Umumkan Investasi AI Rp1.632 T OpenAI-Oracle-SoftBank - Bloomberg Technoz,Bloombergtechnoz
https://www.kompas.id/artikel/as-kolombia-perang-tarif-trump-menekan-petro-melawan,"AS-Kolombia Perang Tarif, Trump Menekan, Petro Melawan - Kompas.id",Kompas
https://www.cnbcindonesia.com/news/20250127091626-4-606148/menlu-india-beberkan-efek-kebijakan-tarif-trump-praktik-dagang-china,Menlu India Beberkan Efek Kebijakan Tarif Trump & Praktik Dagang China - CNBC Indonesia,CNBC Indonesia
https://www.dw.com/id/trump-batal-terapkan-tarif-kolombia-setelah-ada-kesepakatan/a-71418880,Trump Batal Terapkan Sanksi Kolombia Setelah Ada Kesepakatan - DW.com,Dw
