Term,TF-IDF Score,Channel,Article Count
tarif,0.04192663543058816,CNN Indonesia,54
trump,0.034678440940918695,CNN Indonesia,54
negara,0.033209970781880316,CNN Indonesia,54
persen,0.031563818410669,CNN Indonesia,54
indonesia,0.031216228585388264,CNN Indonesia,54
china,0.029789140811623555,CNN Indonesia,54
barang,0.026483586656858484,CNN Indonesia,54
perdagangan,0.02480179999297844,CNN Indonesia,54
amerika,0.02463755493645929,CNN Indonesia,54
impor,0.024364198198911637,CNN Indonesia,54
produk,0.022711206710491993,CNN Indonesia,54
tersebut,0.021592985724666933,CNN Indonesia,54
kebijakan,0.020352052271595637,CNN Indonesia,54
menjadi,0.019626410795853193,CNN Indonesia,54
amerika serikat,0.019558579488456608,CNN Indonesia,54
presiden,0.0195188427704222,CNN Indonesia,54
serikat,0.01937246639797129,CNN Indonesia,54
dagang,0.01879785354406336,CNN Indonesia,54
tak,0.018010322659025364,CNN Indonesia,54
ekspor,0.017633182394708253,CNN Indonesia,54
tarif,0.04784923615411589,Cna,6
china,0.03860964894215203,Cna,6
tersebut,0.0384578323619626,Cna,6
ekonomi,0.037465837029118904,Cna,6
trump,0.03446324146351725,Cna,6
produk,0.032351160268046915,Cna,6
persen,0.0314840808347773,Cna,6
amerika,0.03131797991429055,Cna,6
negara,0.029908223678312945,Cna,6
hari,0.029679366532627937,Cna,6
mengatakan,0.029409915584065704,Cna,6
pabrik,0.029329598270876105,Cna,6
harga,0.028663405308816545,Cna,6
baru,0.02858071618282579,Cna,6
ekspor,0.02815346065836212,Cna,6
asean,0.027420328647760617,Cna,6
tahun,0.02728667434893943,Cna,6
indonesia,0.027250069050889003,Cna,6
iphone,0.02628793572377068,Cna,6
pasar,0.02628178229654796,Cna,6
tarif,0.04249602556410739,Detik,80
trump,0.03592222486697423,Detik,80
indonesia,0.03248369862940633,Detik,80
negara,0.032215563816795884,Detik,80
china,0.028381282547050794,Detik,80
barang,0.026775189572581917,Detik,80
kebijakan,0.025521029487912242,Detik,80
impor,0.025008765333508105,Detik,80
tersebut,0.024278225108826046,Detik,80
perdagangan,0.023723669023501412,Detik,80
amerika,0.02326424731856276,Detik,80
produk,0.022082256403827882,Detik,80
presiden,0.021972682555173484,Detik,80
pemerintah,0.021899482905807607,Detik,80
baru,0.020511489787481924,Detik,80
ekspor,0.01984925834242501,Detik,80
mengatakan,0.019774507779134778,Detik,80
amerika serikat,0.019498011533470166,Detik,80
serikat,0.01942030672013816,Detik,80
video,0.019337208823891738,Detik,80
tarif,0.0360529547267612,Dw,22
trump,0.0336249138922081,Dw,22
negara,0.03112023435405403,Dw,22
eropa,0.028484176666489287,Dw,22
perdagangan,0.027631725438962976,Dw,22
cina,0.02754491699784741,Dw,22
presiden,0.024978159195652196,Dw,22
tersebut,0.023676548499350063,Dw,22
ekonomi,0.023672377196870466,Dw,22
barang,0.023010831091844177,Dw,22
amerika,0.022974490507887538,Dw,22
dagang,0.022370880891464908,Dw,22
uni,0.021155524362249364,Dw,22
mengatakan,0.021034762669152766,Dw,22
menjadi,0.02073304460248565,Dw,22
tahun,0.020227047259450296,Dw,22
besar,0.020104504927835384,Dw,22
kesepakatan,0.020037030243662938,Dw,22
perusahaan,0.019874444354892076,Dw,22
uni eropa,0.019832196383017045,Dw,22
bitcoin,0.0675061024523968,Indodax,5
hari,0.05544442723938926,Indodax,5
berita,0.055411079736535876,Indodax,5
crypto,0.05538133250265611,Indodax,5
pasar,0.05479559886092153,Indodax,5
harga,0.05178838311262658,Indodax,5
kripto,0.051141007449509876,Indodax,5
btc,0.05108964016819753,Indodax,5
informasi,0.050381024242498657,Indodax,5
indodax,0.04321752737230604,Indodax,5
tarif,0.04269457860742246,Indodax,5
news,0.042333762676914063,Indodax,5
aset,0.042086442176047074,Indodax,5
trump,0.040569779150547464,Indodax,5
global,0.03847164368710146,Indodax,5
besar,0.037582053274940415,Indodax,5
investor,0.03581836273571913,Indodax,5
apa,0.03580655683189757,Indodax,5
crypto hari,0.034770640293359335,Indodax,5
kebijakan,0.03345960979995297,Indodax,5
tarif,0.04610346041859522,Infobanknews,9
persen,0.044866885298374626,Infobanknews,9
indonesia,0.043376573670666246,Infobanknews,9
ekonomi,0.04096726273963652,Infobanknews,9
negara,0.040240254045860305,Infobanknews,9
pertumbuhan,0.03760271203474001,Infobanknews,9
china,0.03494801231852818,Infobanknews,9
global,0.03411884442084126,Infobanknews,9
menjadi,0.03346875324148776,Infobanknews,9
perdagangan,0.03295312297755816,Infobanknews,9
impor,0.03205638441260045,Infobanknews,9
tersebut,0.031686263688682687,Infobanknews,9
pertumbuhan ekonomi,0.030510161410624077,Infobanknews,9
menjadi persen,0.030454059481238832,Infobanknews,9
sebesar,0.03012439217955727,Infobanknews,9
kebijakan,0.02988555964529011,Infobanknews,9
trump,0.02954721618775817,Infobanknews,9
inflasi,0.029509327650233758,Infobanknews,9
ekspor,0.028233312234216407,Infobanknews,9
sebesar persen,0.02719318351085849,Infobanknews,9
tarif,0.05097372968218384,Kabarbursa,5
trump,0.05006221795231182,Kabarbursa,5
persen,0.040755521521383696,Kabarbursa,5
fed,0.039587938639461334,Kabarbursa,5
the fed,0.039587938639461334,Kabarbursa,5
perusahaan,0.0390867553543306,Kabarbursa,5
kebijakan,0.037747178160865674,Kabarbursa,5
bunga,0.03648394505468918,Kabarbursa,5
pasar,0.036246782812200375,Kabarbursa,5
ekonomi,0.035597088926324606,Kabarbursa,5
suku bunga,0.035119390958835275,Kabarbursa,5
eropa,0.03456508477169273,Kabarbursa,5
the,0.03441846523087404,Kabarbursa,5
inflasi,0.033478633950317374,Kabarbursa,5
suku,0.03333200594384422,Kabarbursa,5
negara,0.03262167621902837,Kabarbursa,5
menjadi,0.03218007556008796,Kabarbursa,5
china,0.03195746447995089,Kabarbursa,5
benar,0.03114811444105158,Kabarbursa,5
jadi,0.03086446424072043,Kabarbursa,5
indonesia,0.059830798427621346,Katadata,5
trump,0.04454930875986569,Katadata,5
negara,0.040818630543179565,Katadata,5
cina,0.0385306304335736,Katadata,5
tarif,0.03497766116747236,Katadata,5
impor,0.0344550587519681,Katadata,5
global,0.03382574208298903,Katadata,5
kebijakan,0.033617941638006174,Katadata,5
perusahaan,0.03271327735401596,Katadata,5
berbagai,0.03265010287676612,Katadata,5
harga,0.03213132564366758,Katadata,5
listrik,0.030415018293210118,Katadata,5
plts atap,0.030415018293210118,Katadata,5
plts,0.030415018293210118,Katadata,5
atap,0.030415018293210118,Katadata,5
who,0.030158003663496392,Katadata,5
presiden,0.030139621695986822,Katadata,5
indorama,0.02980552970605141,Katadata,5
