entity,mean_tfidf
amerika,0.13116743048620239
serikat,0.1307284147546217
trump,0.11582480334818109
indonesia,0.09507914413197305
presiden,0.08545954548291403
as,0.07877041440204638
china,0.0717066772163653
jakarta,0.06555585309430251
april,0.05574560440726656
pemerintah,0.055394565849905396
cnbc,0.044726289536033206
eropa,0.04239058241596329
rabu,0.03943549069891234
kedua,0.037150074899147685
menteri,0.03650575654623956
persen,0.03643386797544613
dua,0.035727744009605183
kanada,0.03537283466603348
uni,0.0346130105796195
bloomberg,0.0345277296615332
pertama,0.03250313542072504
selasa,0.031773400111934934
meksiko,0.03165683238990625
donald,0.03126121471452161
kamis,0.03124568928479495
washington,0.031153774548228822
satu,0.029861718053325
com,0.029850465348440783
putih,0.02924297110926162
senin,0.02901438390945316
gedung,0.028140096937051814
rp,0.028047105413107516
perdagangan,0.026102305487450152
asia,0.02519715892968212
tiga,0.025123356468901147
kementerian,0.02512201121636434
bank,0.02446432714656134
dolar,0.024086746193296597
beijing,0.023602449227308038
jumat,0.023324521209628458
miliar,0.022969956898025487
airlangga,0.022420148096428647
news,0.022289788552159535
wib,0.022145524548494742
januari,0.022057258211009775
us,0.02152371878141684
mobil,0.02106088406261101
maret,0.02075723102980679
sabtu,0.020357254025488766
februari,0.019935168385079
mei,0.01910169780300109
the,0.01907405729220433
minggu,0.018783946901301918
negeri,0.01860872934643231
vietnam,0.018451543696804955
pemerintahan,0.018395392614016407
minyak,0.01816560546596503
kompas,0.018052755345144993
prabowo,0.017629024291627007
keuangan,0.01702257802221872
co,0.01624103444695833
selatan,0.015304025021701834
india,0.01527468833368782
saham,0.015260655430297811
rupiah,0.015143835553196995
usd,0.015038705786870431
jepang,0.01495749115825124
dan,0.014427098413345016
ketua,0.01442635869701898
direktur,0.014296251266272632
triliun,0.014158103890796329
reuters,0.014103778858552064
cina,0.01398079978599096
perekonomian,0.013683280358723715
juni,0.013484030228090851
juta,0.013308640742715308
bidang,0.013235130272440217
tempo,0.013138191038757319
internasional,0.013103267173508277
ekonomi,0.013075068544031072
sam,0.012927027112957045
wakil,0.012659192447651537
korea,0.012523068300175725
dollar,0.01230180353002623
kepala,0.012295287240182244
scott,0.011993032389626743
asean,0.01195837623782951
new,0.011938283533156553
konferensi,0.011874919390729074
koordinator,0.011844034857716498
hartarto,0.011664564665733016
inggris,0.011551733908993668
indeks,0.01146726296838448
ri,0.011448246474277876
partai,0.011428118132741031
of,0.011400096987473966
technoz,0.01138579345504489
dc,0.011325366001756551
luar,0.011171997455589671
bessent,0.011165732182672744
sri,0.011125645097331714
kantor,0.011089611193678078
wto,0.011001968595764793
empat,0.010832659618262477
apple,0.010724608664774989
komisi,0.010677005543638242
bi,0.010632953774541999
pers,0.010619092548321437
subianto,0.010608114318023441
trade,0.010470550326424017
bisnis,0.010420862209557548
ketiga,0.010399490540546424
dunia,0.01017585885852783
tahun,0.010164682580957093
departemen,0.010156109453131733
apr,0.010133529385185424
swiss,0.010001795712446379
perdana,0.009972823093185697
lima,0.009862743708074927
york,0.009806729048147356
hari,0.00973252346588724
xi,0.009698049291091405
dewan,0.009661341309252796
fed,0.009652941757439762
baja,0.009644974532219037
federal,0.009635562693187388
paman,0.009628339542827082
pemimpin,0.00948402195297993
republik,0.009361500368166199
universitas,0.00915221466615669
pt,0.00913345231858114
scroll,0.009086784960121934
australia,0.008883881690305151
international,0.008827523719497797
ceo,0.008761359240759872
aluminium,0.008751545003613335
mulyani,0.00859213009792071
malaysia,0.008584334946894145
thailand,0.008476106725297122
bulan,0.008383798569006843
imf,0.008319012733442656
pesawat,0.008271660306904656
dagang,0.008261574585896247
inc,0.00820596332523314
bitcoin,0.008105334304793732
mesin,0.008084043755339556
jenewa,0.008025499486828732
asosiasi,0.0080100527106815
kongres,0.007963940913385653
nasional,0.007880286012772915
rusia,0.007875982346159851
asdonald,0.007832374081861358
singapura,0.007766329507323754
juli,0.007642863808299884
jinping,0.007624457502517133
economic,0.007542187072182618
pengadilan,0.007495096362247487
serikatdonald,0.007464800199263556
brasil,0.007433266896131008
utara,0.007338736847168694
iphone,0.007326625481783579
taiwan,0.007294801020688295
timur,0.007268310129458076
organisasi,0.007174961129355202
howard,0.007153650830175762
truth,0.007146297455226021
and,0.007090128616806703
badan,0.006990935657292735
ihsg,0.006983710727882419
fentanil,0.00695818885214999
umum,0.00694158087872474
wall,0.006937822036029013
ustr,0.00685116674487602
desember,0.006788684775471778
pusat,0.006742517730866802
menko,0.006705817026606331
chip,0.0066776470130711545
bicara,0.006647589510953282
juru,0.006560578127162772
tenggara,0.006531463074974923
prancis,0.006498095574881396
social,0.006353921906571099
street,0.006243238666784531
times,0.006225891484643352
bursa,0.00621872618748623
perwakilan,0.006176633777894636
ibrahim,0.006175353677636969
sentral,0.006084056787277505
tim,0.005911375745752729
powell,0.005839638529717992
mentah,0.005834204658653963
negara,0.005766851665722221
lutnick,0.005635099343202318
reserve,0.0055049188727014225
qris,0.005465910690077111
jerman,0.005447091661900941
afrika,0.0054380726278068425
united,0.005173669405347247
greer,0.005108578609127965
kemendag,0.005014253118410572
