word,entity_group,frequency,word_lower,mean_tfidf,freq_normalized,combined_score
empat,CRD,28,empat,0.010832659618262477,0.016213086276780544,0.013522872947521511
swiss,GPE,28,swiss,0.010001795712446379,0.016213086276780544,0.013107440994613462
kompas,ORG,14,kompas,0.018052755345144993,0.008106543138390272,0.013079649241767632
dollar,MON,23,dollar,0.01230180353002623,0.013317892298784018,0.012809847914405124
lima,CRD,26,lima,0.009862743708074927,0.015055008685581933,0.01245887619682843
malaysia,GPE,28,malaysia,0.008584334946894145,0.016213086276780544,0.012398710611837345
korea,GPE,20,korea,0.012523068300175725,0.011580775911986103,0.012051922106080915
tempo co jakarta,ORG,41,tempo co jakarta,0.0,0.02374059061957151,0.011870295309785756
ketua,NOR,16,ketua,0.01442635869701898,0.009264620729588882,0.01184548971330393
baja,PRD,24,baja,0.009644974532219037,0.013896931094383324,0.011770952813301181
pemimpin,NOR,24,pemimpin,0.00948402195297993,0.013896931094383324,0.011690476523681628
sam,PER,18,sam,0.012927027112957045,0.010422698320787493,0.01167486271687227
aluminium,PRD,25,aluminium,0.008751545003613335,0.01447596988998263,0.011613757446797983
kepala,NOR,18,kepala,0.012295287240182244,0.010422698320787493,0.01135899278048487
bi,ORG,20,bi,0.010632953774541999,0.011580775911986103,0.01110686484326405
australia,GPE,23,australia,0.008883881690305151,0.013317892298784018,0.011100886994544585
juli,DAT,25,juli,0.007642863808299884,0.01447596988998263,0.011059416849141256
jenewa,GPE,24,jenewa,0.008025499486828732,0.013896931094383324,0.010961215290606029
thailand,GPE,23,thailand,0.008476106725297122,0.013317892298784018,0.01089699951204057
scott,PER,16,scott,0.011993032389626743,0.009264620729588882,0.010628826559607812
juta,MON,13,juta,0.013308640742715308,0.007527504342790967,0.010418072542753138
direktur,ORG,11,direktur,0.014296251266272632,0.006369426751592357,0.010332839008932494
rusia,GPE,22,rusia,0.007875982346159851,0.012738853503184714,0.010307417924672282
sri,ORG,16,sri,0.011125645097331714,0.009264620729588882,0.010195132913460298
partai,NOR,15,partai,0.011428118132741031,0.008685581933989578,0.010056850033365304
singapura,GPE,21,singapura,0.007766329507323754,0.012159814707585408,0.009963072107454582
bessent,PER,15,bessent,0.011165732182672744,0.008685581933989578,0.00992565705833116
rp triliun,MON,34,rp triliun,0.0,0.019687319050376375,0.009843659525188187
us miliar,MON,34,us miliar,0.0,0.019687319050376375,0.009843659525188187
ustr,ORG,22,ustr,0.00685116674487602,0.012738853503184714,0.009795010124030367
indeks,PRD,14,indeks,0.01146726296838448,0.008106543138390272,0.009786903053387376
kongres,NOR,20,kongres,0.007963940913385653,0.011580775911986103,0.009772358412685877
